date,pr,mm,mp,mc,weekday,hol,months,target
07/06/2019,1517,24,175,2274,Fri,N,17,2769
08/06/2019,1328,37,146,2243,Sat,N,17,2656
09/06/2019,1802,57,247,3006,Sun,N,17,3250
10/06/2019,1812,64,253,3376,Mon,N,17,2986
11/06/2019,1460,52,205,2710,Tue,N,17,2587
12/06/2019,1686,53,243,2668,Wed,N,17,2877
13/06/2019,1552,34,210,2654,Thu,N,17,2784
14/06/2019,1733,40,178,2445,Fri,N,17,3170
15/06/2019,1671,28,183,2505,Sat,N,17,3094
16/06/2019,1850,55,275,3154,Sun,N,17,3436
17/06/2019,1765,60,271,3218,Mon,N,17,3039
18/06/2019,1531,47,200,2600,Tue,N,17,2605
19/06/2019,1627,48,241,2716,Wed,N,17,2810
20/06/2019,1729,51,200,2727,Thu,N,17,3018
21/06/2019,1718,34,193,2806,Fri,N,17,3097
22/06/2019,1771,52,164,2545,Sat,N,17,3262
23/06/2019,2062,41,249,3024,Sun,N,17,3373
24/06/2019,1997,54,253,3153,Mon,N,17,3215
25/06/2019,1529,56,221,2607,Tue,N,17,2683
26/06/2019,1873,46,189,2665,Wed,N,17,3066
27/06/2019,1799,39,198,2470,Thu,N,17,3003
28/06/2019,1797,48,187,2676,Fri,N,17,3319
29/06/2019,1773,23,180,2476,Sat,N,17,3202
30/06/2019,1946,38,229,2757,Sun,N,17,3239
01/07/2019,1724,39,224,2766,Mon,N,18,2858
02/07/2019,1373,51,197,2310,Tue,N,18,2386
03/07/2019,1741,45,230,2656,Wed,N,18,2931
04/07/2019,1789,39,196,2382,Thu,N,18,2891
05/07/2019,1807,40,154,2530,Fri,N,18,3027
06/07/2019,1669,36,160,2404,Sat,N,18,2957
07/07/2019,1805,43,277,2851,Sun,N,18,3071
08/07/2019,1806,57,231,3130,Mon,N,18,2820
09/07/2019,1474,39,182,2537,Tue,N,18,2394
10/07/2019,1888,49,217,2655,Wed,N,18,2899
11/07/2019,1775,34,195,2470,Thu,N,18,2828
12/07/2019,1524,40,169,2463,Fri,Y,18,2839
13/07/2019,1517,41,148,2373,Sat,Y,18,2917
14/07/2019,1714,40,213,2871,Sun,Y,18,3112
15/07/2019,1817,32,269,3060,Mon,Y,18,2797
16/07/2019,1536,33,154,2411,Tue,Y,18,2342
17/07/2019,1883,59,204,2704,Wed,Y,18,2851
18/07/2019,1831,47,216,2508,Thu,Y,18,2927
19/07/2019,1938,30,195,2635,Fri,Y,18,2919
20/07/2019,1951,18,129,2245,Sat,Y,18,3210
21/07/2019,2049,51,222,2888,Sun,Y,18,3326
22/07/2019,1952,37,204,2799,Mon,Y,18,2773
23/07/2019,1744,38,197,2391,Tue,Y,18,2542
24/07/2019,2198,54,192,2808,Wed,Y,18,3050
25/07/2019,2183,54,192,2571,Thu,Y,18,3201
26/07/2019,2231,52,227,2774,Fri,Y,18,3313
27/07/2019,2296,47,164,2498,Sat,Y,18,3556
28/07/2019,2231,41,215,2680,Sun,Y,18,3286
29/07/2019,2027,45,198,2671,Mon,Y,18,2954
30/07/2019,1824,33,158,2166,Tue,Y,18,2636
31/07/2019,2221,38,175,2429,Wed,Y,18,3024
01/08/2019,2066,45,189,2316,Thu,Y,19,2865
02/08/2019,2061,49,204,2386,Fri,Y,19,3214
03/08/2019,2086,49,168,2414,Sat,Y,19,3232
04/08/2019,2052,43,202,2842,Sun,Y,19,3144
05/08/2019,1960,52,198,2793,Mon,Y,19,2765
06/08/2019,1411,33,185,2164,Tue,Y,19,2384
07/08/2019,1675,27,186,2334,Wed,Y,19,2630
08/08/2019,1629,32,154,2162,Thu,Y,19,2626
09/08/2019,1723,43,184,2097,Fri,Y,19,2960
10/08/2019,1927,41,162,2203,Sat,Y,19,3157
11/08/2019,1787,38,164,2461,Sun,Y,19,2975
12/08/2019,1749,42,185,2544,Mon,Y,19,2684
13/08/2019,1601,34,158,2022,Tue,Y,19,2545
14/08/2019,2308,44,218,2809,Wed,Y,19,3375
15/08/2019,2029,28,192,2571,Thu,Y,19,3137
16/08/2019,1614,24,138,2234,Fri,Y,19,2736
17/08/2019,1679,32,130,2232,Sat,Y,19,2886
18/08/2019,1876,55,227,2898,Sun,Y,19,3113
19/08/2019,1991,42,203,3031,Mon,N,19,3026
20/08/2019,1705,36,194,2531,Tue,N,19,2642
21/08/2019,1918,41,168,2556,Wed,N,19,2896
22/08/2019,1738,34,174,2518,Thu,N,19,2854
23/08/2019,1753,31,185,2490,Fri,N,19,3133
24/08/2019,1911,37,142,2359,Sat,N,19,3319
25/08/2019,1881,49,241,3011,Sun,N,19,3250
26/08/2019,1938,45,223,3024,Mon,N,19,3054
27/08/2019,1510,47,212,2465,Tue,N,19,2543
28/08/2019,1661,42,203,2683,Wed,N,19,2729
29/08/2019,1460,46,175,2392,Thu,N,19,2568
30/08/2019,1472,46,156,2381,Fri,N,19,2853
31/08/2019,1596,22,138,2210,Sat,N,19,2940
01/09/2019,1752,48,207,2804,Sun,N,20,2954
02/09/2019,1791,41,231,3108,Mon,N,20,2908
03/09/2019,1412,62,237,2638,Tue,N,20,2521
04/09/2019,1661,46,204,2715,Wed,N,20,2685
05/09/2019,1760,41,208,2615,Thu,N,20,2860
06/09/2019,1765,48,196,2432,Fri,N,20,3209
07/09/2019,1559,37,148,1977,Sat,N,20,2757
08/09/2019,1988,36,225,2803,Sun,N,20,3451
09/09/2019,1582,56,202,2311,Mon,N,20,2646
10/09/2019,1834,43,184,2351,Tue,N,20,2760
11/09/2019,2265,66,275,2912,Wed,Y,20,3433
12/09/2019,2053,42,176,2385,Thu,Y,20,3182
13/09/2019,1044,27,120,1594,Fri,Y,20,2148
14/09/2019,1192,40,128,1825,Sat,Y,20,2387
15/09/2019,1441,57,263,2879,Sun,Y,20,2863
16/09/2019,1630,48,276,3600,Mon,Y,20,2956
17/09/2019,1659,62,208,2895,Tue,N,20,2714
18/09/2019,1888,47,226,2807,Wed,N,20,2856
19/09/2019,1575,45,187,2533,Thu,N,20,2765
20/09/2019,1530,39,210,2375,Fri,N,20,3104
21/09/2019,1596,41,176,2380,Sat,N,20,2978
22/09/2019,1946,47,225,3001,Sun,N,20,3300
23/09/2019,2014,48,269,3081,Mon,N,20,3085
24/09/2019,1573,36,210,2608,Tue,N,20,2775
25/09/2019,1859,55,254,2724,Wed,N,20,3141
26/09/2019,1714,33,209,2337,Thu,N,20,3164
27/09/2019,1581,62,176,2325,Fri,N,20,3246
28/09/2019,1674,32,163,2236,Sat,N,20,3421
29/09/2019,1802,52,203,2491,Sun,N,20,3258
30/09/2019,1742,41,209,2459,Mon,N,20,2952
01/10/2019,1770,39,205,2038,Tue,N,21,2753
02/10/2019,2363,44,212,2608,Wed,N,21,3417
03/10/2019,2221,36,198,2341,Thu,Y,21,3186
04/10/2019,1479,35,169,2136,Fri,Y,21,2671
05/10/2019,1367,34,146,1985,Sat,Y,21,2622
06/10/2019,1542,40,223,2482,Sun,Y,21,2859
07/10/2019,1635,41,180,2432,Mon,Y,21,2622
08/10/2019,1886,42,187,2221,Tue,N,21,2782
09/10/2019,2180,56,196,2445,Wed,N,21,3359
10/10/2019,1407,45,189,2235,Thu,N,21,2565
11/10/2019,1475,39,172,2124,Fri,N,21,2742
12/10/2019,1438,33,158,2016,Sat,N,21,2957
13/10/2019,1757,58,244,2869,Sun,N,21,3185
14/10/2019,1886,59,263,2969,Mon,N,21,3244
15/10/2019,1537,45,196,2543,Tue,N,21,2833
16/10/2019,1743,56,212,2581,Wed,N,21,3040
17/10/2019,1662,37,182,2141,Thu,N,21,2929
18/10/2019,1578,51,204,2135,Fri,N,21,3209
19/10/2019,1611,40,159,2301,Sat,N,21,3247
20/10/2019,1825,60,265,2850,Sun,N,21,3393
21/10/2019,1833,51,264,2937,Mon,N,21,3164
22/10/2019,1448,35,209,2271,Tue,N,21,2673
23/10/2019,1783,49,208,2484,Wed,N,21,2956
24/10/2019,1520,53,216,2026,Thu,N,21,2949
25/10/2019,1591,47,170,2196,Fri,N,21,3254
26/10/2019,1514,40,148,2090,Sat,N,21,2988
27/10/2019,1934,56,229,2513,Sun,N,21,3187
28/10/2019,1861,37,257,2803,Mon,N,21,2977
29/10/2019,1503,42,217,2239,Tue,N,21,2559
30/10/2019,1623,49,191,2456,Wed,N,21,2994
31/10/2019,1713,41,175,2106,Thu,N,21,2891
01/11/2019,1629,25,158,2210,Fri,N,22,3030
02/11/2019,1626,36,171,1976,Sat,N,22,3066
03/11/2019,1747,44,222,2612,Sun,N,22,3171
04/11/2019,1976,54,250,2989,Mon,N,22,3250
05/11/2019,1536,59,238,2521,Tue,N,22,2770
06/11/2019,1977,47,249,2380,Wed,N,22,3054
07/11/2019,1752,38,215,2090,Thu,N,22,2988
08/11/2019,1746,43,193,2155,Fri,N,22,3247
09/11/2019,1622,43,155,2099,Sat,N,22,3107
10/11/2019,1690,50,253,2658,Sun,N,22,3331
11/11/2019,1830,66,277,3098,Mon,N,22,3161
12/11/2019,1525,51,236,2504,Tue,N,22,2697
13/11/2019,1975,47,204,2579,Wed,N,22,3048
14/11/2019,1761,56,214,2286,Thu,N,22,3061
15/11/2019,1748,29,182,2355,Fri,N,22,3243
16/11/2019,1612,51,184,2167,Sat,N,22,3216
17/11/2019,1901,48,281,3121,Sun,N,22,3355
18/11/2019,1987,59,263,3034,Mon,N,22,3020
19/11/2019,1472,55,238,2404,Tue,N,22,2657
20/11/2019,2045,44,224,2589,Wed,N,22,3167
21/11/2019,1797,60,209,2128,Thu,N,22,3051
22/11/2019,1805,51,194,2376,Fri,N,22,3274
23/11/2019,1522,34,152,2055,Sat,N,22,3056
24/11/2019,1692,44,236,2593,Sun,N,22,3058
25/11/2019,1839,63,234,2919,Mon,N,22,3017
26/11/2019,1475,42,212,2256,Tue,N,22,2523
27/11/2019,1776,59,227,2583,Wed,N,22,2966
28/11/2019,1788,37,170,2172,Thu,N,22,2704
29/11/2019,1840,38,172,2377,Fri,N,22,2899
30/11/2019,1700,29,142,2103,Sat,N,22,3053
