date,pr,mm,mp,mc,weekday,hol,months,target
25/05/2018,1307,42,201,1985,Fri,N,4,2466
26/05/2018,1173,33,139,1848,Sat,N,4,2313
27/05/2018,1399,46,217,2641,Sun,N,4,2552
28/05/2018,1512,36,226,2737,Mon,N,4,2374
29/05/2018,1192,53,186,2254,Tue,N,4,2039
30/05/2018,1318,52,241,2211,Wed,N,4,2295
31/05/2018,1320,51,184,2151,Thu,N,4,2351
01/06/2018,1688,28,170,2456,Fri,N,5,2666
02/06/2018,1612,35,160,2118,Sat,N,5,2741
03/06/2018,1702,47,233,2715,Sun,N,5,2917
04/06/2018,1530,39,258,2649,Mon,N,5,2461
05/06/2018,1390,60,192,2386,Tue,N,5,2333
06/06/2018,1831,43,217,2499,Wed,N,5,2710
07/06/2018,1166,50,166,2076,Thu,N,5,2019
08/06/2018,1353,46,190,2296,Fri,N,5,2495
09/06/2018,1476,40,187,2022,Sat,N,5,2755
10/06/2018,1670,47,225,2707,Sun,N,5,2934
11/06/2018,1373,50,232,2682,Mon,N,5,2428
12/06/2018,1245,36,170,2254,Tue,N,5,2101
13/06/2018,1700,49,221,2672,Wed,N,5,2646
14/06/2018,1220,39,189,2330,Thu,N,5,2050
15/06/2018,1376,42,167,2291,Fri,N,5,2512
16/06/2018,1378,39,148,2133,Sat,N,5,2570
17/06/2018,1662,40,215,2652,Sun,N,5,2771
18/06/2018,1710,40,207,2759,Mon,N,5,2656
19/06/2018,1329,49,214,2443,Tue,N,5,2316
20/06/2018,1737,43,185,2614,Wed,N,5,2573
21/06/2018,1468,34,180,2421,Thu,N,5,2329
22/06/2018,1546,52,191,2272,Fri,N,5,2770
23/06/2018,1553,38,183,2258,Sat,N,5,2646
24/06/2018,1722,26,225,2943,Sun,N,5,2923
25/06/2018,1772,52,247,2924,Mon,N,5,2718
26/06/2018,1282,44,212,2404,Tue,N,5,2166
27/06/2018,1631,47,213,2632,Wed,N,5,2594
28/06/2018,1401,48,177,2231,Thu,N,5,2339
29/06/2018,1640,26,194,2406,Fri,N,5,2763
30/06/2018,1588,28,169,2355,Sat,N,5,2894
01/07/2018,1617,44,218,2534,Sun,N,6,2683
02/07/2018,1548,49,207,2729,Mon,N,6,2431
03/07/2018,1312,30,176,2107,Tue,N,6,2180
04/07/2018,1682,49,204,2493,Wed,N,6,2650
05/07/2018,1467,40,209,2222,Thu,N,6,2327
06/07/2018,1494,45,178,2311,Fri,N,6,2601
07/07/2018,1541,27,160,2214,Sat,N,6,2664
08/07/2018,1795,44,246,2773,Sun,N,6,2872
09/07/2018,1682,57,214,2774,Mon,N,6,2558
10/07/2018,1351,35,169,2304,Tue,N,6,2125
11/07/2018,1654,40,178,2516,Wed,N,6,2520
12/07/2018,1652,35,201,2331,Thu,N,6,2574
13/07/2018,1417,39,184,2331,Fri,Y,6,2543
14/07/2018,1432,28,168,1968,Sat,Y,6,2482
15/07/2018,1657,33,246,2659,Sun,Y,6,2718
16/07/2018,1692,45,211,2689,Mon,Y,6,2635
17/07/2018,1479,44,199,2224,Tue,Y,6,2109
18/07/2018,1597,39,208,2637,Wed,Y,6,2517
19/07/2018,1564,36,173,2452,Thu,Y,6,2543
20/07/2018,1929,37,164,2554,Fri,Y,6,2919
21/07/2018,1801,42,163,2203,Sat,Y,6,2854
22/07/2018,1798,40,184,2729,Sun,Y,6,2867
23/07/2018,1849,50,207,2598,Mon,Y,6,2625
24/07/2018,1555,34,170,2267,Tue,Y,6,2335
25/07/2018,2032,50,200,2609,Wed,Y,6,2862
26/07/2018,1839,49,194,2477,Thu,Y,6,2793
